"id","dummyExpoSplit","milConflictCode","exposureName","exposureValue","percent"
179,0,"ODSS","Animal Bodies","Yes",51.01
14,0,"OIF/OEF/OND","Animal Bodies","Don't Know",60.48
118,0,"OIF/OEF/OND","Animal Bodies","No",55.32
256,0,"OIF/OEF/OND","Animal Bodies","Yes",5.81
254,0,"OIF/OEF/OND","Animal Bodies","Don't Know",53.76
211,0,"OIF/OEF/OND","Animal Bodies","No",57.51
359,0,"OIF/OEF/OND","Animal Bodies","Don't Know",53.66
32,0,"OIF/OEF/OND","Animal Bodies","Don't Know",52.34
109,0,"OIF/OEF/OND","Animal Bodies","No",50.97
23,0,"OIF/OEF/OND","Animal Bodies","Don't Know",55.35
224,0,"OIF/OEF/OND","Animal Bodies","Yes",33.57
166,0,"OIF/OEF/OND","Animal Bodies","Don't Know",47.34
76,0,"OIF/OEF/OND","Animal Bodies","No",55.9
353,0,"OIF/OEF/OND","Animal Bodies","Yes",7.67
347,0,"ODSS","Animal Bodies","Don't Know",51.73
294,0,"OIF/OEF/OND","Animal Bodies","Yes",51.37
41,0,"OIF/OEF/OND","Animal Bodies","Don't Know",28.01
316,0,"OIF/OEF/OND","Animal Bodies","Don't Know",58.96
342,0,"ODSS","Animal Bodies","Don't Know",30.67
39,0,"ODSS","Animal Bodies","Don't Know",56.23
159,0,"ODSS","Animal Bodies","Don't Know",33.83
240,0,"OIF/OEF/OND","Animal Bodies","No",55.97
286,0,"OIF/OEF/OND","Animal Bodies","Don't Know",46.48
158,0,"OIF/OEF/OND","Animal Bodies","Don't Know",33.55
199,0,"OIF/OEF/OND","Animal Bodies","No",30.66
160,0,"ODSS","Animal Bodies","Don't Know",39.26
155,0,"ODSS","Animal Bodies","Yes",30.97
66,0,"OIF/OEF/OND","Animal Bodies","No",50.37
298,0,"ODSS","Animal Bodies","No",30.65
170,0,"OIF/OEF/OND","Animal Bodies","Yes",51.47
225,0,"OIF/OEF/OND","Animal Bodies","No",40.28
203,0,"ODSS","Animal Bodies","Don't Know",36.86
180,0,"OIF/OEF/OND","Animal Bodies","Yes",54.23
2,0,"OIF/OEF/OND","Animal Bodies","Yes",55.48
130,0,"ODSS","Animal Bodies","Yes",52.11
371,0,"OIF/OEF/OND","Animal Bodies","Yes",57
171,0,"ODSS","Animal Bodies","Don't Know",55.43
