"exposureName","conditionClass","milConflictCode","exposureValue","hasConditionClass","Freq","Percent","splitGroup"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,13,26.72,"Second Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,39,61.83,"Second Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","ODSS",NA,NA,0,3.19,"Last Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,7,6.53,"Second Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,22,31.17,"First Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","ODSS",NA,NA,29,53.04,"First Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,1,0.99,"Second Third"
"Agent Orange or Other Herbicides","Cardiovascular Conditions","ODSS",NA,NA,5,3.02,"First Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","ODSS",NA,NA,30,49.18,"First Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","ODSS",NA,NA,28,38.04,"Last Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,3,10.86,"Second Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","ODSS",NA,NA,1,11.35,"Second Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","ODSS",NA,NA,42,65.95,"First Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","ODSS",NA,NA,8,28.46,"Last Third"
"Agent Orange or Other Herbicides","Chronic Multisymptom Disorder","ODSS",NA,NA,3,7.04,"Second Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","ODSS",NA,NA,54,86.08,"Last Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","ODSS",NA,NA,2,7.86,"Last Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","ODSS",NA,NA,7,5.19,"Second Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","OIF/OEF/OND",NA,NA,1,1.3,"Last Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","ODSS",NA,NA,44,87.66,"First Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","OIF/OEF/OND",NA,NA,3,5.09,"Second Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","ODSS",NA,NA,5,7,"Second Third"
"Agent Orange or Other Herbicides","Dermatological Conditions","OIF/OEF/OND",NA,NA,5,0.58,"First Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","OIF/OEF/OND",NA,NA,42,55.35,"First Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","ODSS",NA,NA,19,19.69,"Last Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","OIF/OEF/OND",NA,NA,1,0.06,"Second Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","OIF/OEF/OND",NA,NA,6,6.99,"First Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","ODSS",NA,NA,45,80.59,"Last Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","ODSS",NA,NA,6,11.43,"Second Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","OIF/OEF/OND",NA,NA,6,7.39,"Last Third"
"Agent Orange or Other Herbicides","Endocrine Disorders","OIF/OEF/OND",NA,NA,0,5.05,"Last Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,22,34.09,"Last Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","ODSS",NA,NA,42,48.34,"First Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,4,4.92,"Last Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","ODSS",NA,NA,5,6.37,"Last Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","ODSS",NA,NA,29,47.19,"First Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,23,45.75,"First Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,1,3.09,"Second Third"
"Agent Orange or Other Herbicides","Gastrointestinal Conditions","ODSS",NA,NA,3,5.19,"Second Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","ODSS",NA,NA,42,75.74,"Last Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,14,19.5,"First Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,11,10.88,"Second Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","ODSS",NA,NA,3,11.7,"Second Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","ODSS",NA,NA,39,81.74,"First Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","ODSS",NA,NA,11,8.52,"First Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","ODSS",NA,NA,0,6.04,"Last Third"
"Agent Orange or Other Herbicides","Genitourinary System Diseases","ODSS",NA,NA,4,4.28,"Second Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","ODSS",NA,NA,40,58.55,"Last Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,9,18.17,"Second Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","ODSS",NA,NA,2,7.99,"Second Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","ODSS",NA,NA,3,10.73,"First Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","ODSS",NA,NA,36,72.85,"First Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","ODSS",NA,NA,12,30.15,"Second Third"
"Agent Orange or Other Herbicides","Heatstroke and Sunstroke","ODSS",NA,NA,6,8.58,"Last Third"
"Agent Orange or Other Herbicides","Hematological Conditions","OIF/OEF/OND",NA,NA,55,73.57,"Last Third"
"Agent Orange or Other Herbicides","Hematological Conditions","OIF/OEF/OND",NA,NA,6,8.86,"First Third"
"Agent Orange or Other Herbicides","Hematological Conditions","OIF/OEF/OND",NA,NA,8,7.91,"Second Third"
"Agent Orange or Other Herbicides","Hematological Conditions","OIF/OEF/OND",NA,NA,5,3.25,"First Third"
"Agent Orange or Other Herbicides","Hematological Conditions","ODSS",NA,NA,43,82.79,"Last Third"
"Agent Orange or Other Herbicides","Hematological Conditions","OIF/OEF/OND",NA,NA,6,9.28,"Second Third"
"Agent Orange or Other Herbicides","Hematological Conditions","ODSS",NA,NA,2,10.09,"First Third"
"Agent Orange or Other Herbicides","Hematological Conditions","ODSS",NA,NA,1,2.53,"Last Third"
"Agent Orange or Other Herbicides","Immune System Disorders","OIF/OEF/OND",NA,NA,27,39.54,"Last Third"
